#	year	left	match	right	title	topic
708	2007	Pimco , for example offers a somewhat risky local-market fund that returned about 12 percent last year , a traditional dollar-denominated sovereign fund that returned about 10 percent and a	low-risk	diversified global income fund that returned about 8 percent .	Where's the Party? In Emerging Markets	Mutual funds; Bond markets; Debt; Emerging markets
709	2007	In negotiations with the House , Mr. Lieberman is seeking a '' compromise '' formula that preserves guaranteed minimums for relatively	low-risk	places like his home state of Connecticut .	Pork, Peanut Butter and Security	Terrorism; Government spending; Government waste; Security; Editorials -- Terrorism
710	2007	This was both a	low-risk	and a high-risk proposition .	Back on the Road, Tracking The Red, White and Odd	Nonfiction; Travel; Subcultures; Books-titles -- Call of the
711	2007	The 33-year-old Park , a right-hander , represents a	low-risk	gamble that the Mets , constantly searching for pitching depth , can afford to take .	Park Put on List of Hopefuls For Spot in Mets' Rotation	Sports team rosters; Contracts; Professional baseball -- New York Mets
712	2007	Israel could have reinforced Mr. Abbas 's position and increased the chances for progress with a series of	low-risk	steps : committing to serious negotiations , freezing the expansion of settlements and easing restrictions on civilians ' movements in the West Bank .	Charade in Jerusalem	Peace negotiations; Foreign policy; Palestinians; Editorials -- Peace negotiations
713	2007	It is a relatively	low-risk	deal for them . ''	Google Courts Small YouTube Deals, and Very Soon, a Larger One	Alliances; Video recordings; Web sites; LicensingCompany / organization:
714	2007	In a pilot program run by the state Corrections Department , supervised teams of	low-risk	inmates beginning this month will be available to harvest the swaths of sweet corn , peppers and melons that sweep the southeastern portion of the state .	Inmates Will Replace Wary Migrants in Colorado Fields	Immigration policy; Prisoners; Farmers; Pilot projects; Legislation; Migrant workers
715	2007	Obviously even a	low-risk	pregnancy can be hard on anyone 's body , but that 's ridiculous . ''	How Exercise and Bed Rest in Pregnancy Can Co-Exist	Medical diagnosis; Exercise; Obstetrics; Pregnancy
716	2007	According to the National Cancer Institute , research indicates that the pill increases the risk of liver cancer in otherwise	low-risk	women while decreasing the risk of cancers of the ovary and the endometrium -- the lining of the uterus .	Pill That Eliminates the Period Gets Decidedly Mixed Reviews	Menstruation; FDA approval; Prescription drugs; Birth control
717	2007	Mr. Bogle , who advocates a	low-risk	approach to investing , clearly favors low-cost mutual funds as a sensible way to hold a diverse portfolio containing both stocks and bonds .	A Search for Yield Leads Some Back to Bonds	Bond markets; Investment
718	2007	It is n't for people looking for a	low-risk	investment .	High Hopes for Bridgeport	None
719	2007	St. Lawrence County officials said yesterday that there was no history of violence and that he was considered a ''	low-risk	'' offender .	A Young Man's Troubled Path From Pride of His Family to Murder Suspect	Criminal investigations; Murders  murder attempts
720	2007	Catholic investors save a lot and favor	low-risk	investment portfolios .	The Catholic Boom	Socioeconomic factors; Religion  politics; Religion  psychology; Catholicism
721	2007	Some people who have been live donors or have received organs from live donors said last week that a touch of that sensationalism might not be a bad thing , if it put a human face on the need for organs and on those willing to make a relatively	low-risk	kidney donation .	A Television Audition For a Part in and of Life	Reality programming; Transplants  implants; Medical ethics; Social conditions  trends; Blood  organ donations
722	2007	For the studios , however , they 're a relatively	low-risk	investment : You never know when , for just a couple of million bucks , someone will make a '' Saw . ''	I Was Hooked On Horror Flicks Dumped to DVD!	Motion pictures; Marketing; Video stores; DVD
723	2007	In fact , even in	low-risk	groups transvaginal ultrasound detected a significant number of early-stage cancers .	Ovarian Cancer Screening	Ovarian cancer
724	2007	ANDREW KRAMER '' We 're tough-minded and investor friendly , and we 're delivering a solid ,	low-risk	2007 , '' Jeffrey R. Immelt , G.E. 's chairman , told analysts on a conference call , promising more buybacks beyond 2008 .	Today in Business	Financial performance; Movie  television coproductions; Profit margins; Expansion; Earnings; Digital music
725	2007	American Home Mortgage traded in loans that fell into the category between	low-risk	and high-risk .	Workers Say They Feel Blindsided by Lender's Failure	Bank failures; Displaced workers; Mortgage companies
726	2007	Such	low-risk	games like the one between Appalachian State and Michigan had until Saturday always resulted in victories for the bigger program that left fans happy and universities rich .	A Celebration Punctuates A Cautionary Tale	College football; Athletes; Colleges  universities; College campuses; Coaches  managers
727	2007	So far , Warner and most other traditional studios have tried to lock down a comfortable ,	low-risk	business model before venturing too far online .	Warner Shifts Web Course, Shouldering Video Costs	Webcasting; Business plansCompany / organization:
728	2007	NRG is planning to build the Advanced Boiling Water Reactor , which represents a relatively	low-risk	choice in an industry where few American companies have current experience with building a plant .	Approval Is Sought For Reactors	Regulatory approval; Nuclear reactors
729	2007	When you do n't know how the local laws will go , then joint ventures are the	low-risk	, high-return strategy for entering new markets , '' said Deane M. Dray , an analyst at Goldman Sachs .	The Venturesome Giant	Joint ventures; Foreign investmentCompany / organization:
730	2007	This represents a return , of sorts , to the market of 25 years ago , when savings banks dominated the mortgage industry , making	low-risk	loans to local borrowers and keeping the loans on their books until they were paid off .	Savings Banks Fill the Gap	Savings banks; Mortgages
731	2007	Medallions are perceived as	low-risk	investments because resale prices have continued to rise and there is a fairly stable cap on the number of new cars allowed on the streets . ''	Bidding for Medallions Tests Cabbies' Nerves	Licensing; Auctions; Taxicabs
732	2007	And while the agony has been concentrated among those who built and sold the financial fairy tale of structured credit products -LRB- creating	low-risk	investments from high-risk securities -RRB- , virtually all the banks ' shares have suffered .	In Reversal, Safe Is Risky, Risky Is Safe	Writedowns; Mortgage backed securities; Swiss banks; Bank earningsCompany / organization:
733	2007	Without requiring the setting up of any additional equipment , TiVo 's nascent rating business is low-cost and easily done ; analysts said it was a	low-risk	way for TiVo to supplement its earnings . ''	TiVo Shifts to Help Companies It Once Threatened	Digital video recorders; Market strategy; Television ratings; Diversification
734	2007	It was a fairly	low-risk	venture for a company with Disney 's resources .	Disney Wonders if a Mermaid Can Follow a Trail Blazed by a Lion	Musical theater; Marketing; Theater directors  producers
735	2007	He said of Tribune , '' I think it 's a very	low-risk	investment , but this would n't be the first time that my opinion diverged from everybody else 's . ''	New Guard Arrives at Tribune, a Developer Who Speaks His Mind	Acquisitions  mergers; Newspapers; Turnaround management
736	2007	Because year-end tax-loss selling hits stocks that have already taken a beating , it can depress valuations and produce	low-risk	entry points .	Now on Sale: The Discards Of Investors	Investment policy; Value stocks; Mortgage banks
737	2008	That 's outrageous -- especially since statistics show that once young people do make it to court , two-thirds are defined as	low-risk	suspects and are released to their parents pending trial .	Juvenile Detention Trap	Editorials; Juvenile justice; Detention centers; Arraignment; Parole  probation
738	2008	There are interminable waits for appointments , some services have been discontinued and the hospital ranks below average on safety measures like preventing bed sores , infections , and even death in	low-risk	procedures .	A Safety-Net Hospital Falls Into Financial Crisis	Nonprofit hospitals; Teaching hospitals; Accreditation; Indigent care; Budget deficits; Quality of care
739	2008	And which candidates promise a strong fight against the wasting of antiterrorist grants on political feather-bedding of	low-risk	localities ?	Homeland Security on the Hustings	Editorials; Terrorism; Emergency preparedness; Presidential elections
